Ilce,Atik_Yag_Noktasi_Sayisi,Nufus,Hizmet_Indeksi,Nokta_Basina_Kisi
ESENYURT,2,1003905,0.19922203794183713,501952.0
GAZIOSMANPASA,1,478395,0.20903228503642388,478395.0
UMRANIYE,2,728913,0.2743811675741824,364456.0
ARNAVUTKOY,1,358469,0.27896415031704275,358469.0
BAGCILAR,2,707635,0.28263158266620503,353818.0
ZEYTINBURNU,1,275471,0.363014618598691,275471.0
SANCAKTEPE,3,507500,0.5911330049261084,169167.0
TUZLA,2,313865,0.637216637726411,156932.0
PENDIK,5,752033,0.6648644407891675,150407.0
BAYRAMPASA,2,272978,0.7326597747803852,136489.0
GUNGOREN,2,251242,0.7960452472118515,125621.0
BEYKOZ,2,246833,0.8102644297966641,123416.0
KARTAL,4,475630,0.8409898450476211,118908.0
KUCUKCEKMECE,7,785270,0.8914131445235396,112181.0
MALTEPE,5,525044,0.9523011404758458,105009.0
USKUDAR,5,514294,0.9722065588943289,102859.0
SARIYER,4,344883,1.1598136179515952,86221.0
EYUPSULTAN,5,425216,1.1758729680915112,85043.0
SILIVRI,3,240029,1.2498489765819965,80010.0
BAHCELIEVLER,7,539035,1.2986169729238362,77005.0
BASAKSEHIR,7,536797,1.304031132811845,76685.0
AVCILAR,6,440663,1.3615847030497228,73444.0
BUYUKCEKMECE,4,283239,1.412234897030423,70810.0
ATASEHIR,6,412125,1.4558689717925386,68688.0
CEKMEKOY,5,315959,1.5824838032782735,63192.0
FATIH,6,351786,1.7055823711006124,58631.0
BEYLIKDUZU,8,422988,1.8913066091709456,52874.0
KADIKOY,16,458573,3.4890846168439924,28661.0
SISLI,12,261959,4.5808695253837435,21830.0
ADALAR,1,17489,5.717879810166391,17489.0
BAKIRKOY,13,218204,5.957727631024179,16785.0
BESIKTAS,10,165895,6.027909219687151,16590.0
